Group,Length,Width,Height,Cubic inches,,,,,,,,Fitments,
22F,9.5,6.9,8.3,544.065,,,,,,,,,
22NF,9.4,5.5,8.9,460.13,,,,,,,,,
24,10.3,6.8,8.9,623.356,,,,,,,,,"Group 24, 25, 26 should fit (just tall, but hood should clear) and are probably widely available"
24F,10.3,6.8,8.9,623.356,,,,,,,,"Corolla, xB",
25,9.1,6.9,8.9,558.831,,,,,,,,Stratus,
26,8.2,6.9,7.8,441.324,,,,,,,,80s Accord,
26R,8.2,6.9,7.8,441.324,,,,,,,,,
26 - 70,8.2,6.9,7.8,441.324,,,,,,,,,
27,12.1,6.8,8.9,732.292,,,,,,,,,
27F,12.1,6.8,8.9,732.292,,,,,,,,,
29NF,13,5.5,8.9,636.35,,,,,,,,,
33,13.3,6.8,9.4,850.136,,,,,,,,,
34,10.3,6.8,7.9,553.316,,,,,,,,,
34R,10.3,6.8,7.9,553.316,,,,,,,,,
34 - 78,10.3,6.8,7.9,553.316,,,,,,,,,
35,9.1,6.9,8.9,558.831,,,,,,,,Mazda 3,
36R,10.4,7.3,8.1,614.952,,,,,,,,,
40R,10.9,6.9,6.9,518.949,,,,,,,,,
41,11.6,6.9,6.9,552.276,,,,,,,,,Broadly Available (pick n pull)
42,9.6,6.8,6.8,443.904,,,,,,,,,My size
43,13.1,6.9,8,723.12,,,,,,,,,
45,9.5,5.5,9,470.25,,,,,,,,,
46,10.8,6.8,9,660.96,,,,,,,,,
47,9.7,6.9,7.5,501.975,,,,,,,,,
48,12.1,6.9,7.6,634.524,,,,,,,,,
48/91,12.1,6.9,7.6,634.524,,,,,,,,,
49,13.9,6.9,7.6,728.916,,,,,,,,,
49/93,15,6.9,7.6,786.6,,,,,,,,,
50,13.5,5,10,675,,,,,,,,,
51,9.4,5.1,8.8,421.872,,,,,,,,,
51R,9.4,5.1,8.8,421.872,,,,,,,,,
52,7.3,5.8,8.3,351.422,,,,,,,,,
53,13,4.7,8.3,507.13,,,,,,,,,
54,7.3,6.1,8.4,374.052,,,,,,,,,
55,8.6,6.1,8.4,440.664,,,,,,,,,
56,10,6.1,8.4,512.4,,,,,,,,,
57,8.1,7.2,6.9,402.408,,,,,,,,,
58,10.1,7.2,6.9,501.768,,,,,,,,,
58R,10.1,7.2,6.9,501.768,,,,,,,,,
59,10.1,7.6,7.8,598.728,,,,,,,,,
60,13.1,6.3,8.9,734.517,,,,,,,,,
61,7.6,6.4,8.9,432.896,,,,,,,,,
62,8.9,6.4,8.9,506.944,,,,,,,,,
63,10.2,6.4,8.9,580.992,,,,,,,,,
64,11.7,6.4,8.9,666.432,,,,,,,,,
65,12.1,7.5,7.6,689.7,,,,,,,,,
66,12.1,7.6,7.6,698.896,,,,,,,,,
70,8.2,7.1,7.3,425.006,,,,,,,,,
71,8.2,7.1,8.5,494.87,,,,,,,,,
72,9.1,7.1,8.3,536.263,,,,,,,,,
73,9.1,7.1,8.5,549.185,,,,,,,,,
74,10.3,7.3,8.8,661.672,,,,,,,,,
75,9.1,7.1,7.3,471.653,,,,,,,,,"Might be a good choice, except side post"
76,13.1,7.1,8.5,790.585,,,,,,,,,
78,10.3,7.1,7.3,533.849,,,,,,,,,
79,12.1,7.1,7.4,635.734,,,,,,,,,
85,9.1,6.8,8,495.04,,,,,,,,,
86,9.1,6.8,8,495.04,,,,,,,,Solstice,
90,9.5,6.9,6.9,452.295,,,,,,,,,
91,11,6.9,6.9,523.71,,,,,,,,,
92,12.5,6.9,6.9,595.125,,,,,,,,,
93,13.9,6.9,6.9,661.779,,,,,,,,,
94R,12.4,6.9,7.5,641.7,,,,,,,,,
95R,15.6,6.9,7.5,807.3,,,,,,,,,
96R,9.6,6.2,6.9,410.688,,,,,,,,,
97R,9.9,6.9,7.5,512.325,,,,,,,,,
98R,11.2,6.9,7.5,579.6,,,,,,,,,
99,8.2,6.9,6.9,390.402,,,,,,,,,
100,10.3,7,7.3,526.33,,,,,,,,,
101,10.3,7,6.7,483.07,,,,,,,,,

